Link;Titulo;Data da Postagem
https://www.palmeiras.com.br/noticias/com-desconto-para-avanti-palmeiras-viagens-prepara-pacotes-para-duelo-com-cerro-porteno-no-paraguai/;Com desconto para Avanti, Palmeiras Viagens prepara pacotes para duelo com Cerro Porteño no Paraguai;19/05/2023 10:06
https://www.palmeiras.com.br/noticias/sub-13-do-verdao-disputa-a-burchalkin-cup-na-russia/;Sub-13 do Verdão disputa a Burchalkin Cup, na Rússia;18/05/2023 17:57
https://www.palmeiras.com.br/noticias/venda-de-ingressos-para-duelo-com-a-ferroviaria-pelo-campeonato-brasileiro-feminino/;Venda de ingressos para duelo com a Ferroviária pelo Campeonato Brasileiro Feminino;18/05/2023 15:14
https://www.palmeiras.com.br/noticias/fa-de-alex-tabata-enaltece-entrosamento-do-verdao-e-comemora-primeiro-gol-no-allianz-parque/;Fã de Alex, Tabata enaltece entrosamento do Verdão e comemora primeiro gol no Allianz Parque;18/05/2023 14:43
https://www.palmeiras.com.br/noticias/abel-ferreira-celebra-3-a-0-contra-fortaleza-pela-copa-do-brasil-vitoria-justa-e-consistente/;Abel Ferreira celebra 3 a 0 contra Fortaleza pela Copa do Brasil: ‘Vitória justa e consistente’;17/05/2023 22:22
https://www.palmeiras.com.br/noticias/alviverde-empata-com-corinthians-pela-terceira-rodada-do-paulista-feminino/;Alviverde empata com Corinthians pela terceira rodada do Paulista Feminino;17/05/2023 19:09
https://www.palmeiras.com.br/noticias/palmeiras-x-fortaleza-informacoes-estatisticas-e-curiosidades-3/;Palmeiras x Fortaleza: informações, estatísticas e curiosidades;16/05/2023 18:23
https://www.palmeiras.com.br/noticias/sub-17-do-verdao-volta-a-golear-sampaio-correa-e-avanca-a-semifinal-da-copa-do-brasil/;Sub-17 do Verdão volta a golear Sampaio Corrêa e avança à semifinal da Copa do Brasil;16/05/2023 17:29
https://www.palmeiras.com.br/noticias/marcos-rocha-inicia-transicao-fisica-e-verdao-segue-preparacao-para-copa-do-brasil/;Marcos Rocha inicia transição física e Verdão segue preparação para Copa do Brasil;16/05/2023 13:21
https://www.palmeiras.com.br/noticias/em-busca-da-lideranca-do-paulista-feminino-verdao-enfrenta-corinthians-no-jayme-cintra/;Em busca da liderança do Paulista Feminino, Verdão enfrenta Corinthians no Jayme Cintra;16/05/2023 10:37
https://www.palmeiras.com.br/noticias/palmeiras-promove-acoes-especiais-de-dia-das-maes-com-socios-avanti-e-correntista-palmeiras-pay-no-allianz-parque/;Palmeiras promove ações especiais de Dia das Mães com sócios Avanti e correntista Palmeiras Pay no Allianz Parque;15/05/2023 15:47
https://www.palmeiras.com.br/noticias/apos-goleada-na-ida-verdao-recebe-sampaio-correa-pela-copa-do-brasil-sub-17/;Após goleada na ida, Verdão recebe Sampaio Corrêa pela Copa do Brasil Sub-17;15/05/2023 14:36
https://www.palmeiras.com.br/noticias/estrangeiro-com-mais-jogos-gomez-celebra-marca-historica-em-reapresentacao-do-verdao/;Estrangeiro com mais jogos, Gómez celebra marca histórica em reapresentação do Verdão;15/05/2023 13:15
https://www.palmeiras.com.br/noticias/amor-materno-palmeiras-realiza-evento-de-dia-das-maes-na-sede-social/;Amor materno: Palmeiras realiza evento de Dia das Mães na sede social;15/05/2023 12:29
https://www.palmeiras.com.br/noticias/paulista-feminino-venda-de-ingressos-para-o-derby-e-a-estreia-no-jayme-cintra-em-jundiai-sp/;Paulista Feminino: venda de ingressos para o Derby e a estreia no Jayme Cintra, em Jundiaí-SP;15/05/2023 12:07
https://www.palmeiras.com.br/noticias/palmeiras-vence-cruzeiro-pelo-campeonato-brasileiro-feminino/;Palmeiras vence Cruzeiro pelo Campeonato Brasileiro Feminino;14/05/2023 19:01
